id,orig_word_count,orig_sentence_count,orig_avg_sentence_length,orig_avg_word_length,orig_unique_word_ratio,orig_content_word_ratio,orig_punctuation_count,orig_capital_letter_ratio,summ_word_count,summ_sentence_count,summ_avg_sentence_length,summ_avg_word_length,summ_unique_word_ratio,summ_content_word_ratio,summ_punctuation_count,summ_capital_letter_ratio
0,95,3,31.666666666666668,5.8,0.7157894736842105,0.6105263157894737,9,0.007861635220125786,92,1,92.0,5.956521739130435,0.7282608695652174,0.6304347826086957,6,0.007898894154818325
1,101,4,25.25,5.415841584158416,0.7029702970297029,0.5841584158415841,11,0.006289308176100629,57,1,57.0,5.684210526315789,0.7719298245614035,0.631578947368421,6,0.0053475935828877
2,100,4,25.0,5.11,0.75,0.54,8,0.006644518272425249,55,1,55.0,5.509090909090909,0.8545454545454545,0.5636363636363636,0,0.0056022408963585435
3,93,3,31.0,5.301075268817204,0.7311827956989247,0.5591397849462365,12,0.010507880910683012,90,1,90.0,5.444444444444445,0.7444444444444445,0.5777777777777777,9,0.01056338028169014
4,100,3,33.333333333333336,5.88,0.76,0.63,13,0.005934718100890208,97,1,97.0,6.030927835051546,0.7731958762886598,0.6494845360824743,10,0.005961251862891207
5,98,3,32.666666666666664,5.5,0.7551020408163265,0.6224489795918368,11,0.0064,95,1,95.0,5.6421052631578945,0.7684210526315789,0.6421052631578947,8,0.006430868167202572
6,101,3,33.666666666666664,5.316831683168317,0.6237623762376238,0.5643564356435643,11,0.004792332268370607,98,1,98.0,5.448979591836735,0.6326530612244898,0.5816326530612245,8,0.004815409309791332
7,87,2,43.5,6.367816091954023,0.7586206896551724,0.6206896551724138,9,0.011128775834658187,85,1,85.0,6.4941176470588236,0.7647058823529411,0.6352941176470588,7,0.011164274322169059
8,103,3,34.333333333333336,5.262135922330097,0.6116504854368932,0.5339805825242718,10,0.006309148264984227,100,1,100.0,5.39,0.62,0.55,7,0.006339144215530904
9,112,4,28.0,5.5,0.6785714285714286,0.5357142857142857,13,0.014084507042253521,46,1,46.0,5.8478260869565215,0.8260869565217391,0.5652173913043478,6,0.006493506493506494
10,100,2,50.0,5.15,0.71,0.52,6,0.00825082508250825,98,1,98.0,5.23469387755102,0.7142857142857143,0.5306122448979592,4,0.008278145695364239
11,103,3,34.333333333333336,5.669902912621359,0.6407766990291263,0.5533980582524272,10,0.010355029585798817,100,1,100.0,5.81,0.65,0.57,7,0.010401188707280832
12,90,3,30.0,6.266666666666667,0.7666666666666667,0.6222222222222222,12,0.0046801872074883,87,1,87.0,6.448275862068965,0.7816091954022989,0.6436781609195402,9,0.004702194357366771
13,91,3,30.333333333333332,5.1208791208791204,0.7582417582417582,0.5274725274725275,9,0.005474452554744526,89,1,89.0,5.202247191011236,0.7640449438202247,0.550561797752809,6,0.005504587155963303
14,91,3,30.333333333333332,5.670329670329671,0.7582417582417582,0.6153846153846154,8,0.005016722408026756,88,1,88.0,5.829545454545454,0.7727272727272727,0.6363636363636364,5,0.005042016806722689
15,98,3,32.666666666666664,4.918367346938775,0.7040816326530612,0.5102040816326531,10,0.005272407732864675,95,1,95.0,5.042105263157895,0.7157894736842105,0.5263157894736842,7,0.00530035335689046
16,89,3,29.666666666666668,5.359550561797753,0.6853932584269663,0.5393258426966292,10,0.010810810810810811,86,1,86.0,5.511627906976744,0.6976744186046512,0.5581395348837209,7,0.010869565217391304
17,107,2,53.5,4.383177570093458,0.6542056074766355,0.514018691588785,20,0.005376344086021506,103,1,103.0,4.466019417475728,0.6504854368932039,0.5339805825242718,13,0.00546448087431694
18,96,3,32.0,5.770833333333333,0.7291666666666666,0.6354166666666666,10,0.010954616588419406,93,1,93.0,5.924731182795699,0.7419354838709677,0.6559139784946236,7,0.0110062893081761
19,184,4,46.0,5.407608695652174,0.6739130434782609,0.5597826086956522,15,0.014655172413793103,93,1,93.0,5.118279569892473,0.7526881720430108,0.5913978494623656,5,0.02146690518783542
20,106,3,35.333333333333336,5.235849056603773,0.6792452830188679,0.5943396226415094,13,0.023183925811437404,103,1,103.0,5.359223300970874,0.6893203883495146,0.6116504854368932,10,0.023291925465838508
21,105,3,35.0,4.866666666666666,0.6857142857142857,0.5333333333333333,16,0.018333333333333333,102,1,102.0,4.980392156862745,0.696078431372549,0.5490196078431373,13,0.018425460636515914
22,104,3,34.666666666666664,5.201923076923077,0.6634615384615384,0.5480769230769231,16,0.022292993630573247,101,1,101.0,5.326732673267327,0.6732673267326733,0.5643564356435643,13,0.0224
23,101,3,33.666666666666664,5.237623762376238,0.693069306930693,0.5445544554455446,10,0.02106969205834684,98,1,98.0,5.36734693877551,0.7040816326530612,0.5612244897959183,7,0.021172638436482084
24,99,3,33.0,5.474747474747475,0.696969696969697,0.6363636363636364,11,0.03333333333333333,48,1,48.0,5.4375,0.875,0.6666666666666666,4,0.046052631578947366
25,90,3,30.0,5.7444444444444445,0.8111111111111111,0.6111111111111112,6,0.005,87,1,87.0,5.908045977011494,0.8275862068965517,0.632183908045977,3,0.005025125628140704
26,90,3,30.0,6.4,0.7555555555555555,0.6333333333333333,11,0.0045871559633027525,87,1,87.0,6.586206896551724,0.7701149425287356,0.6551724137931034,8,0.004608294930875576
27,88,3,29.333333333333332,5.2727272727272725,0.7613636363636364,0.5909090909090909,11,0.005555555555555556,85,1,85.0,5.423529411764706,0.7764705882352941,0.611764705882353,8,0.00558659217877095
28,96,3,32.0,5.78125,0.75,0.6145833333333334,11,0.004694835680751174,93,1,93.0,5.935483870967742,0.7634408602150538,0.6344086021505376,8,0.0047169811320754715
29,103,3,34.333333333333336,4.844660194174757,0.7087378640776699,0.5533980582524272,12,0.011965811965811967,100,1,100.0,4.96,0.72,0.57,9,0.012027491408934709
30,92,3,30.666666666666668,6.0,0.75,0.6086956521739131,8,0.004724409448818898,89,1,89.0,6.168539325842697,0.7640449438202247,0.6292134831460674,5,0.004746835443037975
31,103,3,34.333333333333336,5.495145631067961,0.7669902912621359,0.5533980582524272,10,0.01676829268292683,100,1,100.0,5.63,0.78,0.57,7,0.016845329249617153
32,93,3,31.0,5.559139784946237,0.7419354838709677,0.6129032258064516,10,0.005008347245409015,90,1,90.0,5.711111111111111,0.7555555555555555,0.6333333333333333,7,0.0050335570469798654
33,96,3,32.0,5.375,0.65625,0.5208333333333334,11,0.005,93,1,93.0,5.516129032258065,0.6666666666666666,0.5376344086021505,8,0.005025125628140704
34,94,3,31.333333333333332,5.585106382978723,0.7446808510638298,0.5957446808510638,11,0.018121911037891267,91,1,91.0,5.736263736263736,0.7582417582417582,0.6153846153846154,8,0.018211920529801324
35,91,3,30.333333333333332,5.813186813186813,0.7472527472527473,0.5934065934065934,11,0.006578947368421052,88,1,88.0,5.9772727272727275,0.7613636363636364,0.6136363636363636,8,0.006611570247933884
36,91,2,45.5,5.351648351648351,0.7802197802197802,0.6043956043956044,11,0.01773049645390071,89,1,89.0,5.449438202247191,0.7865168539325843,0.6179775280898876,9,0.017793594306049824
37,94,3,31.333333333333332,5.595744680851064,0.7340425531914894,0.5851063829787234,8,0.004975124378109453,91,1,91.0,5.747252747252747,0.7472527472527473,0.6043956043956044,5,0.005
38,95,3,31.666666666666668,5.505263157894737,0.7684210526315789,0.5789473684210527,12,0.01990049751243781,92,1,92.0,5.6521739130434785,0.782608695652174,0.5978260869565217,9,0.02
39,90,3,30.0,5.466666666666667,0.7555555555555555,0.6111111111111112,7,0.005226480836236934,87,1,87.0,5.620689655172414,0.7701149425287356,0.632183908045977,4,0.005253940455341506
40,90,2,45.0,5.266666666666667,0.7111111111111111,0.5888888888888889,10,0.012658227848101266,88,1,88.0,5.363636363636363,0.7159090909090909,0.6022727272727273,8,0.012704174228675136
41,93,3,31.0,5.451612903225806,0.7419354838709677,0.5913978494623656,13,0.005119453924914676,90,1,90.0,5.6,0.7555555555555555,0.6111111111111112,10,0.005145797598627788
42,93,3,31.0,5.956989247311828,0.7849462365591398,0.5806451612903226,12,0.004746835443037975,90,1,90.0,6.122222222222222,0.8,0.6,9,0.0047694753577106515
43,95,3,31.666666666666668,5.7368421052631575,0.7157894736842105,0.5684210526315789,11,0.007961783439490446,92,1,92.0,5.891304347826087,0.7282608695652174,0.5869565217391305,8,0.008
44,89,3,29.666666666666668,6.325842696629214,0.7865168539325843,0.6292134831460674,10,0.0046801872074883,86,1,86.0,6.511627906976744,0.8023255813953488,0.6511627906976745,7,0.004702194357366771
45,92,3,30.666666666666668,6.3478260869565215,0.7717391304347826,0.6739130434782609,10,0.004524886877828055,89,1,89.0,6.52808988764045,0.7865168539325843,0.6966292134831461,7,0.004545454545454545
46,80,2,40.0,6.075,0.75,0.6625,7,0.0035842293906810036,78,1,78.0,6.205128205128205,0.7564102564102564,0.6794871794871795,5,0.0035971223021582736
47,92,3,30.666666666666668,6.260869565217392,0.7608695652173914,0.6304347826086957,11,0.004573170731707317,89,1,89.0,6.438202247191011,0.7752808988764045,0.651685393258427,8,0.004594180704441042
48,86,2,43.0,5.930232558139535,0.7790697674418605,0.5465116279069767,10,0.012006861063464836,84,1,84.0,6.0476190476190474,0.7857142857142857,0.5595238095238095,8,0.012048192771084338
49,99,4,24.75,5.353535353535354,0.7272727272727273,0.5555555555555556,9,0.014539579967689823,53,1,53.0,5.622641509433962,0.7735849056603774,0.5471698113207547,3,0.005763688760806916
